"drug","formulary_drug_cd"
"Atacand","CAND16"
"Ketamine HCl","KETA200I"
"acetylcysteine",NULL
"Ascorbic Acid","ASCO500L"
"Senna","SENN187"
"Amitriptyline","AMIT25"
"Lidocaine Viscous 2%","MABELI120"
"Potassium Chloride","KCL10PM"
"Hydrocortisone Acetate Suppository","ANHC25R"
"NS","METRBASE"
"Meperidine","MEPE50I"
"Peppermint Oil","PEPP1"
"Loperamide","LOPE2"
"Lacosamide","LACO100L"
"Beclomethasone Dipro. AQ (Nasal)","BECONASEAQ"
"Hyaluronidase","HYAL150I"
"Acetaminophen",NULL
"Nevirapine","NEVI200"
"Sodium Chloride 3% (Hypertonic)","HYPNSCL3"
"Insulin Pump",NULL
"Ipratropium Bromide MDI","IPRA2H"
"Readi-Cat 2 (Barium Sulfate 2% Suspension)","BARI2/450L"
"~ <IND> Defibrotide","DEFI80I"
"Mobic",NULL
"Alavert",NULL
"Hydromorphone-HP","HYDR500I"
"dexame","DEXA2"
"Dexamethasone Sod Phosphate","DEXA10I"
"Amicar","AMIN5"
"TMC125 200mg/placebo po BID per Tibotec ",NULL
"Tolterodine","TOLT1"
"Dornase Alfa","PULMOZYME"
"octreotide acetate","OCTR20I"
"Lidocaine Jelly 2%","LID2J"
"Olanzapine","OLAN2.5"
"Calcitonin Salmon Nasal","CALC2N"
"Tacr","TACRSUSP"
"Colchicine","COLO06S"
"Viibryd",NULL
"Oxymetazoline HCl","OXYM15"
"Tolvaptan","TOLV30"
"Acetaminophe","ACET650L"
"Melphalan HCl","MELP50I"
"Olanzapine","OLAN10I"
"Potassium Chl 40 mEq / 1000 mL D5NS","KCL40/1000D5NS"
"*NF* Levalbuterol Neb","LEVA0.63L"
"HydrOXYzine","HYDR10L"
"Hepar","HEPA100SYR"
"NEO*IV*Zidovudine","NEOZDV"
"Sulfamet","BACT20L"
"Didanosine EC","DIDA125"
"HYDROmorphone (Dilaudid)","HYD50PCA"
"D5W","CLINBASE"
"Zantac Maximum Strength",NULL
"famciclovir","FAMC250"
"Mesalamine Desensitization","MESADESEN13"
"Saliva Substitution Combo No.5","CAPH15L"
"Methadone HCl","METH40"
"Betamethasone Dipro 0.05% Cream","BETA0.05C"
"Haloperidol","HALO05"
"CALCIUM 500+D",NULL
"Pimozide",NULL
"Ondansetron ODT","ONDA4ODT"
"Acetic Acid 0.25% Irrig. Soln","ACET25T"
"MICONAZOL","MICO2P"
"Urea-C40","UREA20C"
"Lithium ","LITHOBID"
"Tavist",NULL
"HYDROmorphone P.F.","HYDR2PF"
"Estraderm","ESTR1P"
"albuterol","ALBU4R"
"Bactroban","BACT2C"
"Potassium Chl 40 mEq / 1000 mL D5W","KCL40/1000D5W"
"Ethezyme",NULL
"Trandolapril","TRAN2"
"Detrol LA","TOLT2"
"ALL PURPOSE NIPPLE OINTMENT",NULL
"Fluconazole","FLUCO400PM"
"IMMODIUM",NULL
"darbopoetin (aranesp)",NULL
"Aprepitant","APRE80"
"Gamunex/GammaKED","GAMU5I"
"Epinephrine HCl","EPINEO"
"Neo*PO*Omeprazole","OMEPNEO"
"Testosterone 4 mg Patch","TEST4P"
"Iso-Osmotic Sodium Chloride","FLUCBASE3"
"Adderall","ADDE20XR"
"Nicotine Patch","NICO14P"
"Acidophilus","LACT1"
"Sterile Water For Irrigation","SW1000BTL"
"Albumin 5% (12.5gm)","ALBU5250"
"Oxandrolone (Oxandrin)",NULL
"Methylprednisolone Acetate","MPRED80I"
"Terazosin","TERAZ5"
"Dextromethorphan Polistirex","DEXT5L"
"Magnesium Sulfate (OB)","MAG20/500"
"CONCERTA",NULL
"Imipramine","IMIP25"
"Vancomycin","VANCO10I"
"Zirgan(ganciclovir)",NULL
"Pregabalin","PREG75"
"Bag","BAG1000I"
"Milk Thistle Extract",NULL
"CLARITIN","LORA10"
"Atropine Sulfate 1%","ATRO1/15ES"
"Starter PN D10","STARTPND10"
"Temodar","TEMO100"
"levo","LEVO75"
"Norepinephrine Bitartrate","LEVO4I"
"Chlorothiazide Sodium","CHL500I"
"Lidocaine 1%","LIDO1I"
"Cefuroxime Sodium","CEFU75I"
"amlodipine-benazepril",NULL
"robit","GGAC5L"
"Excedrin Migraine","EXCMIGTAB"
"anusol","ANUSHC"
"Hep","HEP1I"
"Bacitracin Ointment",NULL
"Lidocaine 2%/Epi 1:100,000","LIEP220I"
"Povidone Iodine 1/8 Strength","BETAEL"
"Fludrocortisone Acetate","FLUD100"
"Trimethobenzamide HCl","TRIM250"
"Soln.","FENTSOLN"
"Hydromorphone-HP","DILHP50I"
"Tocopheryl","VITE1000"
"*NF* Beclomethasone Dipro 80 mcg Inh","BECLINH"
"Vancomycin Intrathecal","VANCOIT"
"Levothyroxine Sodium","LEVO200I"
"Piperacillin","PIPE3I"
"Maraviroc","MARA300"
"Mexiletine","MEXI150"
"Methimazole","METH10"
"OxycoDONE-Acetaminophen Elixir","ROXIOS"
"Ethacrynate Sodium","ETHA50I"
"Phenytoin Infatab","DILA100"
"Isosorbide Dinitrate","ISOS40SA"
"Nia","NIAC500SR"
"Beractant","BERA8I"
"Anzemet","DOLA12.5I"
"dival","DIVA1750L"
"Meloxicam",NULL
"Ketoconazole","KETO200"
"Syringe (Intrapleural)","SYRPL"
"DOPamine","DOPA400D"
"OXYTROL",NULL
"NEO*PO*Morphine","NEOMOR5"
"Sodium Phosphate","NAPHOS3PO"
"Pravastatin","PRAV10"
"MetFORMIN (Glucophage)","METF500"
"imiquimod","IMIQ5C"
"Colesevelam","COLE625"
"Tetracaine HCl","TETRA5ES"
"Apraclonidine 0.5%","APRA5OS"
"Miconazole 2% Cream","MONI7C"
"Lidocaine","LID2PREMIX"
"Amiodarone","AMID100HT"
"Zegerid OTC",NULL
"Lidocaine 0.5%/Epinephrine","LIEP550I"
"Hydroxypropyl Methylcellulose","NATTTS"
"Tranexamic Acid","TRAN100I"
"Hepa","HEP1I"
"Keppra",NULL
"Mycophenolate Mofetil Suspension","MYCO250"
"ClomiPRAMINE","CLOM50"
"Neo-Synephrine","PHEN25N"
"MethylPHENIDATE (Ritalin)","RITA10"
"Stavudine","D4T20"
"Darvocet-N 100","DARV100"
"Nephro-Vite",NULL
"Aspirin","ASA600R"
"PACLItaxel (TaxOL)","PACL300NO"
"Fosphenytoin","FOSP100I"
"VinCRIStine (Oncovin)","VINC2SYR"
"HYDROmorphone-HP","HYDR500I"
"Famvir","FAMC250"
"NEO*IV*Hydrocortisone","HYDRNEO"
"Morphine SR (MS Contin)","MSCO15"
"NEO*IV*Fat Emulsion","NFAT4"
"Divalproex (DELayed Release)","VALP250L"
"CVVH","CVVH"
"Sirolimus","SIRO6L"
"Heparin Sodium","HEPA5I"
"Reminyl","GALA4"
"Amino Acids 3.5%","AMIN35"
"Neomycin-Polymyxin-Bacitracin","NEOSEO"
"TMC114 600mg po BID",NULL
"Minoxidil","MINO10"
"Porfimer Sodium","PORF75I"
"Fenofibrate","FENO48"
"Diazepam","DIAZ5I"
"Dicloxacillin","DICL500"
"Junel 1/20 (21)",NULL
"Levoxyl","LEVO100"
"Pamidronate","PAMI90I"
"Nystatin","NYSTC"
"Thiamine","THIA100"
"Proprano","PROP10"
"Simvastin or Placebo","SIMVIND"
"Arava",NULL
"Isoproterenol","ISOP1I"
"Sodium Phosphate","NAPH15I"
"TB Syringe","TBSYR"
"Glipizide","GLUC5XL"
"Amoxicillin-Clavulanate Susp.","AUGM875L"
"Benztropine Mesylate","BENZ5"
"dival","DIVA125SP"
"Itraconazole","ITRA100"
"lantus","GLAR100I"
"Sumatriptan Succinate","SUMA6V"
"Venlafaxine","VENL375XR"
"Fomepizole","FOM1GI"
"cilos","CILL50"
"Amantadine","AMAN100"
"Albumin 25% (12.5 g)","ALBU25"
"Kao","KAOL60L,"
"PAPIN","PAPAIN2"
"CefTAZidime","CEFT1V"
"Finasteride","FINA1L"
"Amoxicillin","AMOX500"
"Furosemide","FURO20"
"Diazepam","DIAZE5I"
"Mycophenolate Mofetil","MYCO750L"
"Diltiazem Extended-Release","TIAZ300"
"Ziprasidone Hydrochloride","ZIPR40"
"Foscarnet Sodium","FOSC24I"
"Humulin N","INNHI"
"D5W","CIPROBASE"
"Diltiazem","DILT500I"
"Atenolol","ATEN50"
"Ketamine (For Intubation)","KETA500I"
"Prograf","TACR0.5BN"
"Candida Skin Test","CANDIDA"
"Sodium Chloride (Hypertonic)",NULL
"Dapsone","DAPS100"
"O.S. Cal 500 W/Vitamin D",NULL
"Captopril","CAPT1"
"Azopt","BRIN1E"
"Lovenox","ENOX100I"
"Famciclovir","FAMC500"
"rocuro","ROCU50I"
"OxycoDONE Concentrate",NULL
"diValpro","VAL250L"
"Lac-Hydrin","LACT12T"
"Bumetanide","BUME.5I"
"Flumazenil","FLUM1I"
"Bupivacaine ","BUPI5I"
"Heparin Flush (10 Units/mL)","HEPA10SYR"
"MULTI","MULT5L"
"humulin R",NULL
"Meges","MEGE400L"
"Albuterol Sulfate","PROAIR8.5H"
"DopAmine","DOPA400PM"
"NEO*IV*Furosemide","NFURON"
"Sunitinib","SUNI50"
"Lumigan",NULL
"Sildenafil Citrate","SILD25"
"rasagiline",NULL
"DEXTROSE 50%","DEX50SY"
"Polyethylene Glycol","GLYC17"
"Prednisone","PRED5L"
"Excedrin Migraine",NULL
"LaMOTrigine","LAMO100BN"
"Lactulose","LACT500R"
"Haloperidol","HALO2OS"
"colesevelam",NULL
"Lopinavir-Ritonavir (Oral Soln)","KALE1L"
"Heparin Flush (10 units/mL)","HEP1I"
"Ciprofloxacin HCl","CIPR500"
"Morphine Sulfate (Syringe)","MORP2I"
"Clindamycin HCl","CLIN150"
"degarelix","DEGA120I"
"Atorvastatin","ATOR20"
"Glucosamine Chondroitin SMConc",NULL
"Metoprolol XL (Toprol XL)","TOPR50"
"Arava","LEFL10"
"Lidocaine","LIDO120I"
"Aranesp","DARB60SY"
"Tacrolimus","TACR0.1O"
"Procainamide SR","PROC750SR"
"Iso-Osmotic Dextrose","FRBD50"
"sodium bicarb","NABC50I"
"Epin","EPIPEN0.3I"
"Prochlorperazine","PROC10"
"Potassium Acetate","KACE200I"
"imatinib",NULL
"Sirolimus","SIRO1L"
"Albuterol ","ALBU3H"
"BuPROPion","BUPR100SR"
"URECHOLINE",NULL
"Zofran","DOLA12.5I"
"5% Dextrose","MORPD5W"
"Rofecoxib","ROFE12.5"
"Defibrotide <IND>","DEFI80I"
"Divalproex Sod. Sprinkles","DIVA500"
"Divalproex Sodium","DIVA1750L"
"ammonium lactate","LACT12T"
"Urocit-K 5 (Potassium Citrate)",NULL
"Clindamycin Phosphate","CLIN1S"
"Phenytoin (Suspension)","DILA100"
"*NF* Triazolam","TRIA25"
"saccharomyces boulardii",NULL
"Mirapex ER(pramipexole)",NULL
"Clobetasol Propionate 0.05% Ointment","CLOB.05O30"
"PredniSONE","PRED0"
"Stalevo 100",NULL
"Hepar","HEP10I"
"Prometrium",NULL
"Desipramine HCl","DESI100"
"Tylenol","ACET325"
"*NF* Micafungin","MICA50I"
"Junel 1.5/30 (21)",NULL
"Multivitamin IV","MVI10I"
"racemic epinephrine",NULL
"CVVH Citrated","CVVH2000I"
"Dexamethasone","DEXAM20I"
"Lidocaine","LIDO2000I"
"Polyethylene Glycol 3350","GLYC17"
"Avodart (dutasteride)",NULL
"Ticlopidine HCl","TIC250"
"D10W","D10W250"
"Ortho Tri-Cyclen Lo",NULL
"Sodium Chloride Nasal","SODI65S"
"Dextromethorphan-Guaifenesin (Sugar Free)","DITU4L"
"Potassium Chloride","NEOSI"
"Hydromorphone","HYD12.5PCA"
"Novolog",NULL
"PleTAL","CILL50"
"NEO*IM*Penicillin G Benzathine","PGBNEO6I"
"Riluzole","RILU50"
"Boniva","IBAN3I"
"lidocain","LIDO2/5J"
"Cepacol (Menthol)","CEPACOL1"
"Torsemide ","TORS20I"
"insulin","INNHI"
"Prazosin HCl","PRAZ5"
"Fentanyl PCA","FENT2.550"
"Levobunolol HCl 0.5%","LEVO5ES"
"Dutasteride (Avodart )",NULL
"Yasmin 28",NULL
"1/2 NS","0.45NS3000I"
"Pneumococcal 7-Valent","PNEU5I"
"Multivitamin","MVITH"
"ATRIPLA","ATRA50I"
"Orap","PIMO2"
"kaolin","KAOL60L,"
"Pyridostigmine ","PYRI60L"
"Triamcinolone Acetonide 0.1% Cream","TRIAM30C"
"Monopril","FOSI10"
"Betamethasone Dipro 0.05% Cream","BETA0.05O"
"Bupropion (Sustained Release)","BUPR100SR"
"carbamide peroxide","GLYO65OT"
"Pyridostigmine Bromide Syrup","PYRI60L"
"Psyllium","METAMOR"
"Levothyroxine Sodium","LEVO125"
"Budesonide (Pulmicort)",NULL
"Tetanus-DiphTox-Acellular Pertuss (Adacel)","ADACEL"
"Sevelamer","SEVE400"
"EMLA","EMLA2.5"
"Diltiaz","DILT500I"
"Tacrolimus (Self Med)","TACR1SM"
"Doxercalciferol","DOXE2I"
"Guaifenesin-CODEINE Phosphate","GGAC10L"
"Calcitonin Salmon","CALC2N"
"NEO*IV*Erythromycin","NERYIV"
"BenGay","BENGAY2O"
"Hydrocortisone","HC100IC"
"ERYTHROMYCIN 0.5% OPHTH OINT","ERYT0.5EO"
"Alprazolam","ALPR1"
"Lidocaine 1.5%/Epinephrine P.F.","LIDEPF1.530I"
"Lansoprazole Oral Disintegrating Tab","LANS30ST"
"Saquinavir (Fortovase)","FORT200"
"Metoprolol","METOSUSP"
"Plan B(levonorgestrel)",NULL
"Acetylcystein","ACET20/4I"
"tria","TRI125"
"Fentanyl Citrate","F4B1ED"
"Oxycodone HCl","OXYCO5L"
"cabergoline","CABE0.5"
"Chlorhexidine Gluconate 0.12% Oral Rinse","CHLO15L"
"Avelox","MOXI400"
"leflunomide","LEFL10"
"Ketorolac","KETO15I"
"Nitroglycerin SL","NTG3SL"
"diltia","TIAZ240"
"Maraviroc","MARA150"
"Phenylephrine","PHEN12SYR"
"Nitroglycerin SL","NTG4SL"
"Valsartan","VALS40"
"Hydrocortisone Cream 2.5%","HYD2530C"
"Primaquine Phosphate","PRIM263"
"Tucks Pads","TUCKSPADS"
"BTL","BTL100"
"SulfaSALAzine","SULF500"
"Triamcinolone 0.1% Cream","TRIAM30C"
"Lansoprazole Oral Suspension","PANT40"
"Zanamivir",NULL
"SulfaSALAzine DR","SULF500EC"
"Cidofovir","CIDO75I"
"Dexamethasone",NULL
"Colistin","COLI150I"
"levocarnitine","LCARN330"
"hepar","HEPA30I"
"Triamcinolone Acetonide Inj","KENA40I"
"Dakins 1/4 Strength","DAKINQS"
"*NF* Bimatoprost (Lumigan)",NULL
"Bag","BAG50"
"Aspirin 325 mg or Placebo","ASPI325INDP"
"Mepivacaine 1%","MEPI1I"
"Dexam","DEXA15"
"Hydrocortisone Acetate 10%  Foam","CORTFOAM"
"Aspirin 81 mg or placebo ","ASPI81INDP"
"Neo*PO*Carbamazepine 20mg/mL","NEOCARB200L"
"Prednisolone Oral Solution","NEOPRED2"
"Hydrocortisone","HC5"
"ticagrelor","TICA90"
"Nystatin Cream","NYSTO"
"DopAmine","DOPA400I"
"Sodium Chloride","NACL1"
"*NF* Entacapone","ENTA200"
"GlipiZ","GLUC5XL"
"Potassium Chloride (Powder)","MICROK10"
"Alteplase","ALTE20I"
"Insulin NPH Human Recomb","INNHI"
"Magnesium","MAG2PM"
"Ranitidine Hcl","RANI150L"
"Cefazolin Ophthalmic Solution",NULL
"Zinc","ZINC220"
"TRAVATAN Z",NULL
"progesterone micronized","PROG100"
"Docusate Sodium","DOCU100"
"Ceftriaxone Desensitization","CEFTR1000I"
"Aripiprazole","ARIP1L"
"Co-syntropin","CORTIND"
"Mycostatin","NYSTC"
"*NF* Valacyclovir","VALA500"
"Sulfamethoxazole-Trimethoprim","BACT10I"
"Mycophenolate Mofetil Suspension","MYCO250L"
"Opium Tincture","DTO.6ML"
"Irbesartan","IRBE300"
"Phenelzine Sulfate","PHEN15"
"Omnipred",NULL
"LaMIVudine","LAMI10L"
"Refresh Liquigel","REFRESH"
"Docusate S","DOCU100L"
"Potassium ","MICROK10"
"Phenytoin","PHEN250I"
"Aptivus","TIPR250"
"Travasol 4.25% W/ Dextrose 5%","D54.25T1LI"
"Citracal + D","CALCITVITD"
"Warfarin","WARF5"
"Cryselle (28)",NULL
"Flovent 110mcg","FLUT110H"
"Isosorbide Mononitrate","ISMO10"
"albut","ALBU5H"
"PILOCARPINE","PILO5"
"Phenytoin Sodium","PHEN100I"
"Ondansetron HCl",NULL
"ASPIR","ASA81"
"Singulair",NULL
"DOCEtaxel (TaxoTERE)","TAXO160I"
"MULT","MULT5L"
"Crestor",NULL
"1","LIDO120I"
"PACLItaxel (TaxOL)","PACL300I"
"Mesalamine (Rectal)","MESA1000R"
"dibucaine","DIBU"
"NEO*PO*Metoclopramide","NEOMET30L"
"Talc (Sterile)","TALC5"
"EPINEPHrine","EPI400SYR"
"Bacitracin/Polymyxin B Sulfate Opht. Oint","POLYEO"
"Enoxaparin Sodium","NEOENOX30I"
"Hectorol","DOX2.5"
"D20W","D20W250I"
"Metronidazole","METR500PM"
"Ipratropium ","IPRAPF"
"Cosyntropin","CORTIND"
"ValGANCIclovir Suspension",NULL
"Paroxetine","PARO10"
"Apri 0.15mg-0.03mg Tab",NULL
"Cetirizine-Pseudoephedrine","CETI10"
"Neut","NEUT"
"Leuprolide Acetate (3 Month)","LEUP22.5I"
"Beclomethasone Dipropionate","BECLINH"
"Azathioprine","AZA100I"
"UroxaTRAL",NULL
"Aliskiren","ALIS150"
"Clindamycin","NCLINDIV"
"NS (Excel)","EXCELNS500"
"Albuterol Inhaler","PROAIR8.5H"
"Proparacaine HCl 0.5% Opth.","PROP05ES"
"Temazepam","TEMA15"
"Chlorpromazine","THOR10"
"Accuzyme","PAPA30O"
"*nf","TRIA25"
"DEXT","DEX50SY"
"Oxycodone","OXYC20"
"LIDODERM PATCHES 3.5%",NULL
"0.9% Sodium Chloride","NS500"
"MORPHINE","MOR10L"
"Enalaprilat","ENAL25I"
"Haloperidol","HALO1"
"Insulin","NOVONPH100I"
"Enoxaparin Sodium","ENOX100I"
"PredniSONE","PRED1"
"Genta","GENT3ES"
"Imodium A-D *NF*","LOPE1/7.5L"
"Cephalexin","CEPH250"
"*NF* Pramipexole","PRAM.25"
"Econopred Plus","ECON1C"
"Naproxen","NAPR375"
"Dimen","DRAM50"
"Felodipine","FELOD5"
"Heparin Flush Midline (100 units/ml)","HEPA100SYR"
"Lanolin (Hydrous)",NULL
"Baclofen Intrathecal","BACL2000I"
"Benzocaine 20% Spray","HURRSPRAY"
"NEO*PO*Potassium Chloride","NEOKCL"
"Aspirin 81 mg /Placebo","ASPI81INDP"
"Ketamine ","KETA200I"
"guaif","GUAI600T"
"NS  W/  0.1% Albumin","NS0.1ALB250I"
"Imatinib",NULL
"Neostigmine","NEOS0.5I"
"Hepatitis B Immun Globulin (HepaGam B)","HPGB5I"
"Niaci","NIAC50"
"Fluticasone Propionate 110mcg","FLUT110H"
"Terbutaline Sulfate","TERB1I"
"Amoxicillin","AUGM500"
"Diprosone","BETA0.05C"
"Leuprolide Acetate","LEUP22.5I"
"Testosterone 2.5mg Patch","TEST25P"
"percocet","PERC"
"Zofran","ONDAN4I"
"Sodium Citrate Dihydrate","SODCIT3SYR"
"Aciphex",NULL
"Mupirocin 2% Cream","BACT2/15C"
"*NF* Rasburicase","RASB1.5I"
"Metoprolol XL (Toprol XL)","TOPR25"
"Naltrexone","NALT50"
"PreserVision",NULL
"Ketamine","KETA100SYR"
"Nitroglycerin Patch","NTG10P"
"Atacand","CAND4"
"NS (Mini Bag Plus)","NS/MBP100I"
"Nabumetone","NABU500"
"Heparin Flush Port (10units/ml)","HEPAR10I"
"Kytril","KYTR1"
"Ibuprofen Suspension","IBUP400"
"Isosorbide Dinitrate","ISOS2.5SL"
"Acetazolamide","ACE500I"
"NS (Irrigation Bottle)","NS250B"
"Sotalol","SOTA80"
"Tenofovir Disoproxil (Viread)","TENO300"
"Morphine Sulfate","MORPIM"
"Promethazine HCl","PROM25I"
"Ascorbic Acid","ASCO500I"
"Opium Deodorized Tinc.","DTO.6ML"
"Ceftriaxone Sodium","CEFR1I"
"Bupivacaine 0.25%","BUPIV0.25BAG"
"Prismasate (B32 K2)","PRISMAB32K25000"
"Ibup","IBUP400"
"Venlafaxine","VENL75XR"
"Nystatin Powder","NYST100P"
"GUAIFENISIN","GUAI600"
"Gluco Sulfate NaCl-Chond Su Na",NULL
"Potassium Chloride","KCL20PM"
"fluoc","FLUO0.01"
"ofloxacin",NULL
"Eptifibatide","INTEG20I"
"Ampicillin Sodium","AMP500I"
"hydromorphone","HYD12.5PCA"
"Zanamivir (*IND*)","ZENA200I"
"Bactroban","BACT2/15C"
"Betamethasone Valerate 0.1% Ointment","BETAVAL.1/45O"
"Xeloda","CAPE500"
"anagrelide","ANAG500"
"Humalog KwikPen",NULL
"Loperamide HCl","LOPE2L"
"Meningococcal Vaccine","MENI1SYR"
"Terazosin HCl","TERAZ5"
"Neo*Desitin Creamy","DESI2C"
"Dextran 40 10% in D5W","DEXT500D5W"
"lactul","LACT30L"
"Levofloxacin","LEVO250PM"
"NIFEdipine CR","ADAL30"
"Chlorpropamide","CHPR100"
"Tolcapone","TOLC100"
"Bimatoprost  (LUMIGAN)",NULL
"Hydrocortisone","ANUSHCOINT"
"Carbamazepine Chewable Tabs","CARB200L"
"Soln","ACETSOLN"
"Eplerenone (INSPRA)",NULL
"Clarinex",NULL
"Ampicillin-Sulbactam","UNAS3I"
"Syringe (Sterile Water)","SWSYR20"
"ACETAMINOPHEN","APAP500"
"Clobetasol Propionate","CLOB05C"
"Blue-Green Algae (Spirulina)",NULL
"Lansop","LANS30"
"Code LUT/ZEA03 Study Med",NULL
"Starter PN D5","STARTNEOD5"
"Benicar","OLME20"
"Sulfameth/Trimethoprim DS","BACTSS"
"Amoxapine","AMOX50"
"Os-Cal 500 + D",NULL
"Methadone HCl","METHCONC"
"Multaq (dronedarone)",NULL
"fenofibrate nanocrystallized","FENO145"
"rosuvastatin","ROSU5"
"insulin","IN73HI"
"*NF* Interferon Alfacon-1","INTE15I"
"Vivelle-Dot","ESTR0.05T"
"Eptifibatide","INTE75I"
"prednis","PREDN5L"
"LIDOCAINE 1% (W/Presv.)","LIDO130I"
"Guaifenesin-Dextromethorphan","GUAI10L"
"Phospha 250 Neutral","PHOS250"
"Dexameth","DEXA2"
"Pulmicort Turbuhaler","BUDE200H"
"Ocuvite Lutein",NULL
"HYDROmorphone (Dilaudid)","HYDR1SYR"
"Procainamide HCl","PROC250"
"Levothy","LEVO112"
"Nature-Throid",NULL
"Irinotecan HCl","CAMP200I"
"Vivelle","ESTR0.025T"
"Promethazine HCl","PROM25"
"Olanzapine (Disintergrating Tablet)","OLAN5"
"Amprenavir","AMPR150"
"OxycodONE (Immediate Release) ","OXYC5"
"Nyst","NYST5L"
"MedroxyPROGESTERone Acetate","MEDR25"
"Meningococ Vac A,C,Y,W135 (PF)","MENA0.5I"
"Telavancin *NF*","TELA250I"
"Acetaminophen (Liquid)","ACET100L"
"Oxandrin","OXAN25"
"Amiodarone","AMID200"
"VALPROIC ACID",NULL
"Phytonadione","PHYT4L"
"Metronidazole","METR250"
"Albumin 5% (25 g)","ALBU5250"
"Olanzapine","OLAN5DTB"
"Mult","MULT5L"
"levetiracetam","LEVE500BN"
"Erythromycin","ERYT2S"
"Linezolid Suspension","LINE20L"
"Codeine Phosphate","CODE30I"
"SW","SW100MLG"
"Aspirin (Rectal)","ASA300R"
"Ketorolac",NULL
"Rocuronium","ROCU100I"
"AMOXicillin Oral Susp.","AMOX250"
"rocuronium","ROCU100I"
"Lescol XL",NULL
"finasteride","FINA5"
"Varicella-Zoster Imm Globulin","VZIG625I"
"NEO*IV*Metoclopramide","NEOMET30L"
"Aspirin EC",NULL
"nifedipine","ADAL30"
"VALACYCLOVIR","VALA500"
"acetylcys","ACET20/4I"
"*nf","MOXI400"
"Lidocaine 1%",NULL
"Docusate Sodium","DOCU100L"
"Sulfameth/Trimethoprim","BACTDS"
"Prop","PROPLA80"
"NEO*PO* Leucovorin (10mg/ml-10ml )","NEOLEUCL"
"prevacid","LANS30"
"Citalopram","CITA20"
"Nicardipine","NICA30"
"Sulfame","BACTSSSM"
"Diltia","DILT25I"
"Dorzolamide 2%/Timolol 0.5% Ophth.","COSO10O"
"Cimetidine","CIME300"
"dutasteride (Avodart)",NULL
"Nitroglycerin Patch","NTG25P"
"Morphine ","MOR10L"
"Acebutolol HCl","ACEB200"
"Piperacillin Sodium","PIPE3I"
"Dorzolamide 2%/Timolol 0.5% Ophth.","COSO5ES"
"Levalbuterol HCl",NULL
"mometasone",NULL
"Dornase Alfa",NULL
"Glimepiride","GLIM1"
"Repaglinide","REPA2"
"Papain-Urea","PAPA30O"
"Normocarb Dialysate","NORMOCARB"
"Thiotepa","THIO15I"
"Buprenorphine HCl",NULL
"Pemetrexed","PEME500I"
"olmesartan/hydrochlorothiazide",NULL
"Clopidogrel Desensitization","CLOP1L"
"Theophylline SR","THEO100"
"Mycophenolate ","MYCO500SM"
"Chlorhexidine Gluconate","PERI12L"
"phenylephrine HCl","PHEN10I"
"Timolol","TIMO5ES"
"rasagiline (Azilect)",NULL
"Aspirin ","ASPIDESEN"
"Hydrocortisone","HC20"
"Lanoxicaps","DIGO200C"
"imdu","IMDU30"
"CycloSPORINE Modified (Neoral)","NEOR0"
"Lantus","GLAR100I"
"Bactrim Desensitization","BACTDES3"
"Lanthanum","LANT750"
"Triamcinolone Acetonide 0.1% Ointment","TRIA0.1O"
"Intralipid 10%",NULL
"Zocor",NULL
"GlyBURIDE","GLYN3"
"Procardia XL","ADAL30"
"dorzolamide","DORZ2S"
"hepar","HEP1I"
"Oseltamivir","OSEL30"
"diltiazem","TIAZ120"
"Metamucil Smooth Texture","METAMOR"
"Albuterol Inhalation Soln 0.5%","ALBU5H"
"Insulin","NOVOR100I"
"Ear Wax Drops","GLYO65OT"
"celecoxib","CELE100"
"Spironolactone","FURO100I"
"Repaglinide","REPA0.5"
"Warf","WARF2"
"fluocin","SNLR115C"
"Talc","ZEASP"
"TIMOP","TIMO5ES"
"Nortriptyline","NORT50"
"nifed","ADAL30"
"Spironolactone","SPIR25"
"Flonase","FLUT16N"
" Cabergoline     ( Dostinex)",NULL
"Lidocaine","LIDO1/10I"
"Pantoprazole (Self Med)","PANT40SM"
"Neomycin-Polymyxin-HC Otic Susp","CORTOTIC"
"Methylprednisolone ACETATE","MPRED40I"
"Heparin CRRT","HEPA100SYR"
"Imatinib Mesylate","IMAT100"
"Niacin Flush Free",NULL
"Bacitracin & Polymyxin B Ophth",NULL
"NS","SALINE"
"Carbidop","SINE25100"
"Gastrocrom","CROM200"
"Sodium Thiosulfate","NATH25I"
"micon","MICO2C"
"synt","LEVO25"
"Oxcarbazepine","OXAC300"
"Methadone","METH10SY"
"SUMAtriptan succinate","SUMA50"
"Aspirin 325mg or placebo","ASPI325INDP"
"*nf","CILOS100"
"NEO*IV*Cefotaxime","NCEFXIV"
"POTASSIUM CHLORIDE","MICROK10"
"Fluconazole","FLU200PM"
"Phenytoin (Suspension)","PHEN50"
"Diovan HCT","VALS80"
"Bupivacaine 0.25%","BUPI25I"
"Oxycodone Liquid","OXYCO5L"
"Sodium Phosphate","NAPH50I"
"Pneumococcal Vac Polyvalent","PNEU5I"
"Mannitol","MANN100I"
"Methadone HCl","METD5"
"Gentamicin 0.3% Ophth. Ointment","GENT3EO"
"DOXOrubicin","DOXO50I"
"Tegaserod Hydrogen Maleate","TEGA6"
"Verapamil HCl","VERA80"
"cromol","CROM200"
"liothyronine","LIOT10I"
"creatine monohydrate",NULL
"bact","BACT20L"
